id,repo_slug,tag,commit,date
1,fastapi,0.115.6,bb8c2a64981d3e806575a445115f29eddf014c77,2024-12-03 22:40:01+00:00
2,fastapi,0.115.7,fe513719ea98abade167d8a89e92f600d9d8f0e5,2025-01-22 22:50:29+00:00
3,fastapi,0.115.8,7128971f1d61e2e1e6f220a5f66baa925b635278,2025-01-30 13:58:14+00:00
4,fastapi,0.115.9,d90030c1e242d1e954a097c253734122eec926e3,2025-02-27 16:40:41+00:00
5,fastapi,0.115.10,a2644728f6cdfe48c686803446ca92a5aa386061,2025-02-28 16:46:04+00:00
6,fastapi,0.115.11,3824664620433f0055125adbf2fc212ced2bdf94,2025-03-01 22:14:01+00:00
7,fastapi,0.115.12,628c34e0cae200564d191c95d7edea78c88c4b5e,2025-03-23 22:54:13+00:00
8,fastapi,0.115.13,4734df1db89607c9579d2bb9795b02214e1e1d47,2025-06-17 11:41:24+00:00
9,fastapi,0.115.14,ebdeda2de6e17036e3048940b7a9e725ef6a95b7,2025-06-26 15:26:32+00:00
10,fastapi,0.116.0,bd8f358fd93416835b06486566b9d9ab991577b6,2025-07-07 15:07:03+00:00
11,fastapi,0.116.1,313723494be79d4b24ccaa60e4f6d1f96c150fed,2025-07-11 16:17:57+00:00
12,fastapi,0.116.2,a372edf7e8825068a780df643700e6cce7e035c5,2025-09-16 18:23:54+00:00
13,fastapi,0.117.0,a84001000e59ff362e74f93b8d9a58a4309dac2d,2025-09-20 19:35:43+00:00
14,fastapi,0.117.1,784f06cb9b7cc63f6a0cb2bc9cf238473eef93e2,2025-09-20 20:15:41+00:00
15,fastapi,0.118.0,333f1ba737be6507fc707278f6b69cf1f81efdc1,2025-09-29 03:34:21+00:00
16,fastapi,0.118.1,01be148429241adb7a9ba5eb8f6cd5e17230b646,2025-10-08 09:05:44+00:00
17,fastapi,0.118.2,942fce394bd66b841b9399cff815bb8a18cfd4c6,2025-10-08 14:49:59+00:00
18,fastapi,0.118.3,352dbefc634b21cff94663be1ab0a1aa5dbd6ed5,2025-10-10 10:34:39+00:00
19,fastapi,0.119.0,2e721e1b02186467dc3a7a95dfe45d8e7bd7d0d9,2025-10-11 17:09:01+00:00
20,fastapi,0.119.1,864b569cf8453654fc3bc2c64108c0f644e2918c,2025-10-20 11:28:38+00:00
21,fastapi,0.120.0,cd40c5b40ffd8ba0c6a6a6c96bbf34ec1cf9c525,2025-10-23 20:54:45+00:00
22,fastapi,0.120.1,78c94c3f565b9b992d1eecafaeb0991e2b177d7c,2025-10-27 17:51:46+00:00
23,fastapi,0.120.2,22ccca21fc13b7ac138e277490ec4d05b4f5094a,2025-10-29 13:44:41+00:00
24,fastapi,0.120.3,2cf04ee30db9df2db04a5b1e0d2c625dfbf1a211,2025-10-30 20:40:08+00:00
25,fastapi,0.120.4,fad35ef43fdde74845b416cd2dc795ff489e9719,2025-10-31 18:35:33+00:00
