version_id,tag,src_module,dst_module
1,0.115.6,docs_src.bigger_applications.app_an_py39.main,docs_src.bigger_applications.app_an_py39.dependencies
1,0.115.6,docs_src.bigger_applications.app_an_py39.main,docs_src.bigger_applications.app_an_py39.internal
1,0.115.6,docs_src.bigger_applications.app_an_py39.main,docs_src.bigger_applications.app_an_py39.internal.admin
1,0.115.6,docs_src.bigger_applications.app_an_py39.main,docs_src.bigger_applications.app_an_py39.routers
1,0.115.6,docs_src.bigger_applications.app_an_py39.main,docs_src.bigger_applications.app_an_py39.routers.items
1,0.115.6,docs_src.bigger_applications.app_an_py39.main,docs_src.bigger_applications.app_an_py39.routers.users
1,0.115.6,docs_src.bigger_applications.app_an_py39.main,fastapi
1,0.115.6,docs_src.bigger_applications.app_an_py39.routers.items,docs_src.bigger_applications.app_an_py39.dependencies
1,0.115.6,docs_src.bigger_applications.app_an_py39.routers.items,fastapi
1,0.115.6,docs_src.bigger_applications.app_an_py39.routers.users,fastapi
1,0.115.6,docs_src.body.tutorial001,fastapi
1,0.115.6,docs_src.body.tutorial001_py310,fastapi
1,0.115.6,docs_src.body.tutorial002,fastapi
1,0.115.6,docs_src.body.tutorial002_py310,fastapi
1,0.115.6,docs_src.body.tutorial003,fastapi
1,0.115.6,docs_src.body.tutorial003_py310,fastapi
1,0.115.6,docs_src.body.tutorial004,fastapi
1,0.115.6,docs_src.body.tutorial004_py310,fastapi
1,0.115.6,docs_src.body_fields.tutorial001,fastapi
1,0.115.6,docs_src.body_fields.tutorial001_an,fastapi
1,0.115.6,docs_src.body_fields.tutorial001_an_py310,fastapi
1,0.115.6,docs_src.body_fields.tutorial001_an_py39,fastapi
1,0.115.6,docs_src.body_fields.tutorial001_py310,fastapi
1,0.115.6,docs_src.body_multiple_params.tutorial001,fastapi
1,0.115.6,docs_src.body_multiple_params.tutorial001_an,fastapi
1,0.115.6,docs_src.body_multiple_params.tutorial001_an_py310,fastapi
1,0.115.6,docs_src.body_multiple_params.tutorial001_an_py39,fastapi
1,0.115.6,docs_src.body_multiple_params.tutorial001_py310,fastapi
1,0.115.6,docs_src.body_multiple_params.tutorial002,fastapi
1,0.115.6,docs_src.body_multiple_params.tutorial002_py310,fastapi
1,0.115.6,docs_src.body_multiple_params.tutorial003,fastapi
1,0.115.6,docs_src.body_multiple_params.tutorial003_an,fastapi
1,0.115.6,docs_src.body_multiple_params.tutorial003_an_py310,fastapi
1,0.115.6,docs_src.body_multiple_params.tutorial003_an_py39,fastapi
1,0.115.6,docs_src.body_multiple_params.tutorial003_py310,fastapi
1,0.115.6,docs_src.body_multiple_params.tutorial004,fastapi
1,0.115.6,docs_src.body_multiple_params.tutorial004_an,fastapi
1,0.115.6,docs_src.body_multiple_params.tutorial004_an_py310,fastapi
1,0.115.6,docs_src.body_multiple_params.tutorial004_an_py39,fastapi
1,0.115.6,docs_src.body_multiple_params.tutorial004_py310,fastapi
1,0.115.6,docs_src.body_multiple_params.tutorial005,fastapi
1,0.115.6,docs_src.body_multiple_params.tutorial005_an,fastapi
1,0.115.6,docs_src.body_multiple_params.tutorial005_an_py310,fastapi
1,0.115.6,docs_src.body_multiple_params.tutorial005_an_py39,fastapi
1,0.115.6,docs_src.body_multiple_params.tutorial005_py310,fastapi
1,0.115.6,docs_src.body_nested_models.tutorial001,fastapi
1,0.115.6,docs_src.body_nested_models.tutorial001_py310,fastapi
1,0.115.6,docs_src.body_nested_models.tutorial002,fastapi
1,0.115.6,docs_src.body_nested_models.tutorial002_py310,fastapi
1,0.115.6,docs_src.body_nested_models.tutorial002_py39,fastapi
